feature,importance
activityFlow,0.05881169420944356
typingAccuracy,0.018114542564601294
archetype,0.0016796166581083002
wpm,0.0015374867258916528
mouseDynamics_acceleration,0.0015066972267945746
touchPressure,0.0013889829835473963
swipeVelocity,0.001300005393714568
flightTime_std,0.0011935325023649116
dwellTime_std,0.001112429090326143
failedAttempts,0.0008551053810052832
locationConsistency,0.0008252911267478944
scrollSpeed,0.0007635460945813856
clickFrequency,0.0007557334541962891
flightTime_mean,0.000704815301129422
loginDuration,0.000680131961420423
mouseDynamics_velocity,0.0005523431718254033
dwellTime_mean,0.0005246485836579107
mouseDynamics_curvature,0.000522415464182522
dayOfWeek,0.00047719526559809834
timeOfDay,0.0003065292994881399
